Nama Pengguna,Rating,Tanggal,Ulasan
Ngurah Arta,5,2026-05-07 13:10:24,sopirnya sangat ramah..dan tidak ngebut berkendara.makasih gojek馃檹馃檹
Irfansyah Ipang,5,2026-05-07 13:08:51,Jempol
Dera Aprianti,1,2026-05-07 13:08:06,"sangatt buruk, udah 4 kali pesann di toko berbeda, di batalkan terus menerus, kecewaa beratt perbaiki dehh tuh sistem driver nya, hobi nya nolak teruss"
Irsyad 4,2,2026-05-07 12:54:52,"skrg pesen gofood minimal 1 jam, gila"
Rusdi01 Rusdi,5,2026-05-07 12:39:41,mantap
Mario Firdaus,5,2026-05-07 12:38:10,terdepan utk mempermudah kebutuhan wsrga
Jaka Baruna,5,2026-05-07 12:21:34,pelayanan ramah
Refki Brata,4,2026-05-07 12:17:54,ok
Zubaidah Sa'roni,5,2026-05-07 12:13:59,"bintang 5 buat driver nya! tepat waktu,cepat,ramah,act of service"
Povasilver76,1,2026-05-07 11:57:49,udh berkali kali verif gagal Mulu
abel wahyudi,5,2026-05-07 11:35:26,drive bagus
Herdi Susanto,3,2026-05-07 11:34:02,ada gerangan apa kenapa susah untuk mendapatkan driver? terutama di area pontianak.
Yan Rosandi,1,2026-05-07 11:33:10,"baru kali ini gojek 2026 makin hancur, bokbrok terparah, enggak kaya dulu bagus banget."
ubaid zaky,5,2026-05-07 11:26:18,"Sangat mudah dan membatu, dalam aktivitas"
Husnul Munawaroh,5,2026-05-07 11:25:37,bagus dan menarik banget
intan karwema,5,2026-05-07 11:19:26,top markotop
gita agistira,1,2026-05-07 11:16:42,"titik almat bsa berubah sendiri setelah pesan, pdhal sblum pesan alamat sdah benar"
Erlih Budiwan,5,2026-05-07 10:56:59,memuaskan
teguh iswahyudi,5,2026-05-07 10:43:08,Tepat waktu
Ani Suryani,3,2026-05-07 10:42:41,"jaringan lambat, pemilihan driver terlalu jauh dari titik penjemputan"
Durox Durox,1,2026-05-07 10:40:05,"barang gw ketinggalan barang jirrr , gw konfirmasi dari jam satu malam ,Ampe sekarang jam 6 sore iyahnya doang.., dan gw dikasih nomor kontak yang gak berlaku , sekelas GOJEK lohh ini. luar biasa馃憦馃憦 Konoha konahaaaa..."
adli bahrun h.m.sebe,5,2026-05-07 10:40:05,makin mantap
Jahyun Jayjo,5,2026-05-07 10:18:22,"drivernya baik , krn macet lewat gang eh tau2 smp tujuan"
bayu candra,5,2026-05-07 10:09:44,okeh
Annisa Ayu auliya putri,5,2026-05-07 10:09:27,馃憤
Anna Mulyani,5,2026-05-07 9:51:31,ok banget
KHAIRUL ANAM,5,2026-05-07 9:51:04,mantap
Kari Asa,5,2026-05-07 9:47:33,mantap
Bima Rama,5,2026-05-07 9:40:47,sopirnya ramah...
Dedi Suwanto,5,2026-05-07 9:31:39,Bagus sangat membantu
Zayn Fadil,5,2026-05-07 9:10:44,cukup bagus
Agus Zidni,5,2026-05-07 8:38:39,bagus banget nih aplikasi jadi kebantu banget
novi farida kurniasih,5,2026-05-07 8:16:39,Aplikasi yg mempermudah kemanapun saat gak bisa bawa kendaraan sendiri 馃憤
PURWANTO NBX,5,2026-05-07 8:15:02,Simple untuk penggunaanya
Ikra Negara,5,2026-05-07 8:07:51,mantap
dandi dwi,5,2026-05-07 7:59:14,okee
Athaya Paramesti,5,2026-05-07 7:51:12,mantap
KangKasaN Printing,5,2026-05-07 7:32:04,wadadidaauuu gojek memang mantul
Dimas Wahyudi,2,2026-05-07 7:02:16,"server hari penuh, sampai saya tidak bisa masuk diaplikasi"
Saimah 2000,3,2026-05-07 6:58:55,"pesen goojek lama bngt kg dapet"" dari jm 11 smpe jm 2 belum dpt juga 馃槖"
Chotib Nur,5,2026-05-07 6:54:36,mantaap
Wenita,1,2026-05-07 6:42:58,"sumpah gojek ini ga berbenah sama sekali, kalau telat dapat driver 1-2脳 oke lah.. ini berkali-kali bahkan sampai hampir 1 jam.. mana di suruh nunggu setengah jam lebih baru bisa dibatalkan, bayangin kalau orang kelaparan"
pinikiyo /lieyy,1,2026-05-07 6:42:01,drivernya di evaluasi
Jefri Rachman,3,2026-05-07 6:40:41,diskon makanan makin dikit harga makanan makin mahal.
Sang Prabu,1,2026-05-07 6:40:23,sya ga mau naik gojek lagi pengajuan pinjaman gagal terus pdh udh lunas ga pernah telat bayar.
Fauzan Nugraha Kaisyinda (FNK),1,2026-05-07 6:39:25,"Gojek?,huh pesan Transportasi terlalu lama & sering dicancel oleh driver tanpa alasan."
siti hajar,2,2026-05-07 6:34:20,"Tolong diperbaiki untuk PETA nya, karena driver selalu salah jalan saat melakukan penjemputan, selalu diarahkan ke jalan yang lebih jauh dan susah lewat. sehingga memakan waktu lebih lama saat jemput."
Sams Udin,5,2026-05-07 6:23:06,"diinfokan diemail,data pribadi saya sudah diproses harus tunggu undangan goride (2 w) melalui Wa"
kevin cool,5,2026-05-07 6:18:13,sangat bagus
sae pudin,5,2026-05-07 6:15:29,sangat membantu makasih
Gilang Fauzi,5,2026-05-07 6:14:16,enggk nunggu lama
Saripin Urip,5,2026-05-07 5:55:45,oke
Dinda Alifia,2,2026-05-07 5:44:34,"plis banget benerin sistemnya, masa ngebatalin driver buat nyari driver lain malah jadi kepesen 2 driver?!?! 2x loh saya mengalami hal kaya gini, mohon untuk kedepannya jangan sampai bisa kejadian seperti ini karna saya kasian sama drivernya"
Iis Handayani,5,2026-05-07 5:39:39,very good
Alfian Yoga Nugraha,3,2026-05-07 5:38:58,masa buka Go transit loading lama minta ampun jaringan bagus kouta banyak perbaikan dong
Siti Rahma,5,2026-05-07 5:18:04,sangat membantu
dhiya sofwan,1,2026-05-07 5:10:33,"kenapa sekarang sering muter2, pdhal koneksi internet lancar2 aja di aplikasi lain"
Cristian Dwi Cahyo,1,2026-05-07 5:00:00,aplikasi tolol uang saya hilang bertahun2 terulang terus menerus
Rafif Darmawan,5,2026-05-07 4:58:13,cepat
Subiyanto Yanto,5,2026-05-07 4:33:32,mantaps
Moch Raden Ali Mimbar,1,2026-05-07 4:20:43,vc 1rp ternyata tidak sesuai
Rifki Mubarak,5,2026-05-07 4:09:40,ok bgt
Asep Achmad,1,2026-05-07 4:02:15,"GOJEK mau BANGKRUT ya? sepi banget orderan nya,mudah2an GOJEK BANGKRUT beneran,AMIN"
Tanto Jutanto,5,2026-05-07 3:41:18,Sangat menyenangkan
Mizan Nur,5,2026-05-07 3:33:39,sangat bagus
Tian Kristian,5,2026-05-07 3:29:25,best
Weliya Rahmi,4,2026-05-07 3:24:17,sangat membantu praktis
Ucu Saputra,5,2026-05-07 3:18:04,nyqman dan aman
Dalifah Ifah,5,2026-05-07 3:16:00,semua baik
dwi Rizal,5,2026-05-07 3:09:50,good service
DJo3 05,5,2026-05-07 3:08:48,pelayanan nya cepat
Ikhwan Nur hadi,1,2026-05-07 2:25:44,"cara berhenti langganan gojek plus gimana ya, mohon informasi nya. terimakasih"
Coky Yudis,5,2026-05-07 2:09:10,mantap
Umroh98 2016,5,2026-05-07 2:03:34,memuaskan
Rosita Situmorang,5,2026-05-07 1:55:28,"Nunggunya tak pake lama guys, keren pokoknya 馃憤鉂�"
Nizma Febrianti,5,2026-05-07 1:53:33,Alhamdulillah lancar
Ni Ketut Sri Mahayuni,5,2026-05-07 1:49:09,Fast respon n ontime
Lia Dahnken,5,2026-05-07 1:47:24,bagus
Djagad Aryadhinata,5,2026-05-07 1:37:05,luar biasa
Ade Poejianto,5,2026-05-07 1:29:35,good job
DEVIL BLACK CYBER TEAM PROFESIONAL DIGITAL FORENSIC,5,2026-05-07 1:25:39,good service
