Nama Pengguna,Rating,Tanggal,Ulasan
Tono Sugiharto,5,2026-05-04 20:55:37,Pelayanan yg professional dan sangat memuaskan. TERIMAKASIH.
Deka Aldheryno bettafish,5,2026-05-04 19:58:06,good
Markus Restujosandy Panjaitan,1,2026-05-04 19:10:16,"udah nunggu 1 jam sekalinya pesanan gofood kita di cancel, emang makin bobrok ni aplikasi"
Asep Iswanto,5,2026-05-04 19:02:02,good job welldone....thanks Gojek
Buah Segar,5,2026-05-04 18:48:15,Bagus
Amal,1,2026-05-04 17:55:04,"layanan darurat dijawab pake BOT ini mikirnya apa si sebenernya kebayang kalo konsumen di bawa kabur driver...keburu jadi korban konsumen kalian baru kalian respon... KECEWA BANGETTT SAMA APLIKASI INI, aplikasi ini gak save brti buat penumpang terutama yg order malam hari"
Nur Hayati,1,2026-05-04 17:54:48,baru kali ini gw di bentak2 driver gw blm ngmng apa2 main di bentak2 aja kalau gk niat kerja jgn kerja tdr aja di rumah saudara bkn asal bentak2 orang se enak jidatnya sndri
takur race,5,2026-05-04 17:01:48,馃憤馃徎
ratih chandra,1,2026-05-04 16:52:14,"Terlalu mahal dibanding app sebelah. Bisa sampe 10rb jika dibandingin yg sebelah. Driver banyak yg bikin emosi, sering cancel2 seenaknya pas jam rawan ataupun ketika hujan tanpa konfirmasi"
Mekejang Melah,5,2026-05-04 16:50:15,mantap
Max Channel,5,2026-05-04 16:15:04,Aplikasi ternyaman dan memberikan pelayanan yg baik kepada customer dan Mitra pengemudi 馃槉
Nadia Sayyidah Arifah,1,2026-05-04 16:12:32,"susah cari driver, tolong di perbaiki ya sistem nya min"
Rachmat Firdaus,5,2026-05-04 16:05:21,good
Armen Men,5,2026-05-04 16:05:16,aman aman aja sampai sekarang
Advokat Suharni,5,2026-05-04 15:40:18,Aplikasi membantu
Restu Rahayu,5,2026-05-04 15:31:53,"sengaja saya kasih bintang 5 supaya di baca saya selalu ga dapet drivernya, susah nyari nya, dapet juga suka di batalkan, kirain dari taun kemarin udah di ubah ternyata sama aja gini, saya udah coba lebihh dari 3x tetep aja ga dapet, saya udah nungguin lebih dari 1 jam ga dapet dapet driver, mana saya sedang buru buru ke tujuan lokasi, katanya membantu, membantu apa nya?"
Kencana Foto Copy,5,2026-05-04 15:28:20,cukup membantu
Aku Giliran,3,2026-05-04 15:22:27,sudah Lama pake Gopay kok gak bisa playter nya malah di suruh pinjAm BPKB klo BPKB mendingan ke BANK AJA. Bantu dong aktipin playter nya
Misih Zacky,5,2026-05-04 15:16:50,馃憤馃憤馃憤
ceu ponse,1,2026-05-04 15:15:58,gasuka driver cancel orderan ga dri awal.. tau cancel dri awal biar cari driver lain.. ini udh nunggu 15 menit baru cancel.. tolong driver suka cancel di beri himbauan
Dara Meyliana,2,2026-05-04 15:12:14,"gojek semenjak orderan digabung"" bikin lama, makanan jd ga fresh smpe ke customer"
Haaanz Bastian,1,2026-05-04 15:09:59,lama banget nyariny dan orderan nya lambat
sandika bintang,1,2026-05-04 15:09:13,susah dapet driver
Lunaa01 Luna,1,2026-05-04 15:07:52,"makin ke sini makin ga jelass kadang pada males malesan jemputnya!! saya tunggu ga jalan jalan kadang malah jalan mnjauh dri pnjmputan ! drivr juga ada yg minta cancell saya sudah tunggu dri 10 mnit pdhl 5 mnit lagi sampai malah minta cancel males males san pada ga mau klo saya pilih ""HEMAT"" pdhl ada pilihanya skrng pada males malesan"
Iin Inansyah,1,2026-05-04 14:45:56,kebijakan lo sama harga makin thaiik bikin susah dapet driver.
Syahrul alamsyah Siregar,5,2026-05-04 14:44:09,"smoga gojek semakin sukses dan terdepan di setiap bidang apa pun, 馃げ馃憤馃挴馃尮馃拹鉂わ笍"
Imam Rudi,1,2026-05-04 14:38:30,ongkir gofood mahal banget.. liat tuh kompetitormu.. berapa biaya layanan + ongkirnya..
nuradhi ramadhan,5,2026-05-04 14:36:58,lebih praktis good
arfan nurul huda,1,2026-05-04 14:35:26,konsumen gofood pada sadis ngasih bintang satu ke merchant pdhl solusi ada tinggal chat kekurangan ..kadang solusi SDH ketemu bintang satu GK bisa di ubah ...konsumen adalah raja tega ...
Sabrina Gita,5,2026-05-04 14:31:54,bepergian jadi gampang dan tidak ribet
pandi setiawan,1,2026-05-04 14:28:29,klo hujan sulit dapat driver
Azka Yazidkiram,5,2026-05-04 14:26:51,bagus
asep gunawan,5,2026-05-04 14:21:13,mantap
Dinda Ayu Chartika,1,2026-05-04 14:18:14,"APP GO FOOD KALIAN BUSUK BANGET.. ORDER MAKANAN SEJAMAN GEGARA GA DAPET2 DRIVER,CUMA MINTA BATALKAN SAJA RIBETNYA MINTA AMPUN..KALIAN BELAJAR DARI APP OREN NOH. DIKASIH TENGGANG WAKTU ""SELAMA 10 MENIT TIDAK DAPAT DRIVER AKAN TERBATALKAN OTOMATIS"" HARUSNYA SEPERTI ITU!!!!!"
rose Rapasy,5,2026-05-04 14:07:12,dari dulu sampai sekarang gak ragu pakai gojek profesional
Wike adhi anggono,5,2026-05-04 14:02:12,aman
Kapten Gamers,1,2026-05-04 13:55:42,tolong dong driver yg milih虏 itu ditindakin dan anda sebagai perusahaan ngotak jg biar driver pd nggak pilih虏 pesanan gw mesan 5x ditolak dikira gw ngemis apa
Maudy Adinda putri,5,2026-05-04 13:55:20,"saya senang menggunakan aplikasi gojeg,,sangat membantu kalo berpergian kemana saja saya selalu menggunakan gojeg,,trimakasih馃檹馃徎馃槃"
BalakIsland Resort2024,4,2026-05-04 13:55:11,agak slowrespon skrg
Ganjarrr pake R,1,2026-05-04 13:53:20,driver tidak memuaskan
Rahmat Djambak,5,2026-05-04 13:51:56,ramah dan cepat
Ajie Suhartoyo,5,2026-05-04 13:50:42,okey
Irfan Permana,1,2026-05-04 13:33:44,"drivernya males虏. keliatannya doang dijalan banyak jaket ijo. saya tinggal di perkotaan, tapi tiap order munculnya jauh虏 + lama, lambat, pelanggan dianggap gak penting. percuma kalo kerja cuma nampang doang. yg lu bisa cuma ""mohon maaf atas ketidak nyamanannya"". DAH. kritik saran konsumen hanya dianggap angin lalu"
Hakuna Hatahutu,1,2026-05-04 13:30:38,aplikasinya bagus playanannya bagus syangnya oknumnya juga ada ! kenapa sih harus ada yg offline dan maksa yg lain ikutan offline ? akhirnya setiap x hujan susah pelanggan yg mau pulang. kalo emng yg butuh duit ya biar lah dia narik gak ush dipksa buat ikutan offline. gedek bngt q sm orang orang bgini.
Rahel Putri,1,2026-05-04 13:25:18,"pesanan ga sampe' udah nunggu 2 jam, tb' di batalin"
Martua Rambe,1,2026-05-04 13:23:49,senang
Ihsanmutayyama,5,2026-05-04 13:18:02,bagus
Uky liur Uky liur,5,2026-05-04 13:11:06,ok mantap x bsa pesan ojek nya pas tempt waktu
Seful Anwar,1,2026-05-04 13:07:44,"Aplikasi aneh,udah kedua kali ini kejadian topup saldo tidak masuk 馃槕 kejadian pertama gitu,pas topup kedua masuk yang pertama kaga ini kejadiannya sama lagi ah elah ngrepotin amat si Help,team Gojek! Update terbaru lagi pesanann cancel karena nunggu lama.ampe.sekarang ga kembali dananya"
Ratu Kuku,1,2026-05-04 13:07:02,"tutup aja go food ,prcma ssah dpt driver trs,mkn ksni gojek mkin lemah"
DestrianaWiyanti,5,2026-05-04 13:03:01,bagus
Mohamad Salafuddin,4,2026-05-04 13:02:29,ok dan ok
Made Wira,5,2026-05-04 12:37:55,mantap jaya.. membantu dalam dituasi kepepet
Nurna Ningsih,5,2026-05-04 12:27:00,sangat membantu
Banyu ad76,5,2026-05-04 12:22:49,aplikasinya gak ngelag
Teteh Cantik,5,2026-05-04 12:22:14,bagus aplikasi nya
yogi lesmana,5,2026-05-04 12:17:58,ok banget
Sibroo 1994,1,2026-05-04 12:12:36,pesan grabcar lama
rie' sagita,1,2026-05-04 12:12:01,"stelah saya cancel. parah nya driver sampai datang k rumah. anak saya kaget driver datang kerumah. anak sdh mnta maaf k driver. dan menjelas kan hp mati Krn baterai habis. anak tdk tau klo gojek nya terproses.. kebetulan akun gojek nya saya pantau juga dari hp saya, jd saya cancel dari hp saya, Krn kasian pk gojek nya sdh lama nunggu. driver hafidh taqiyuddin B 4825 TGI,saya mohon maaf atas kesalahan anak saya. tp saya kecewa dgn tindakan smpai datang kerumah. kasian anak saya jd kebinggungan"
Wanda Juanda,5,2026-05-04 11:56:19,Aplikasi bagus dan sangat membantu dan tarif ongkirnya standar sukses terus gojek 馃檹 Saya beri rating 100 bagus sangat membantu
Fitri Anggraeni,1,2026-05-04 11:43:35,gofood kalo gak bisa antar ga ada driver nya jgn di buka gofood nya. customer nunggu doang tapi ga ada solusi nya makannan ga diantar sudh 1jam. pelayanan makin buruk
Daffa Algani,5,2026-05-04 11:39:29,baik
Mugi Mabruroh,5,2026-05-04 11:37:08,supir ramah komunikatif
Manyund Vershink,1,2026-05-04 11:35:43,kesian sekarang driver argo 5 ribu gofood nya dan GO-RIDE hemat nya 10 order di ambil saldo nya 20 ribu.. semoga di hapus program itu #gojekindonesia #kemnaker
fahril anb,1,2026-05-04 11:34:15,"blok nyari driver gofood lama banget tol ujung"" nya di batalin , udah kesekian kali ga dapat kurir!!"
Fawwaz Gibran,1,2026-05-04 11:24:25,"jelek bgt, nyari driver lama, giliran dapet gak gerak"
Sir Allah,5,2026-05-04 11:16:33,amanah
Yumna Arifah,5,2026-05-04 11:14:41,bagus pelayanan nya cepat
Jony Soff123,5,2026-05-04 11:13:13,Ok
Susetio Hutomo,1,2026-05-04 10:58:02,"kalau yang ada gratis ongkir dari promo jangan ambil gojek plus, barusan saya ambil gojek plus tapi promo ongkir yang bersatu sama promo makanan nya terhapus otomatis, jebakan baru, padahal sebelumnya nggk kayak gitu"
Muchammad Suryo,5,2026-05-04 10:54:31,"kalo bisa jangan terlalu cepat update, terimakasih."
Nanang Sunadi,1,2026-05-04 10:51:20,"makin gajelas aplikasinya. kirim gosend tapi ga gerak gerak posisi driver, sampe waktu nunggu habis tapi posisi driver masih ga gerak"
Valen Valentina,4,2026-05-04 10:51:06,bgus si
neo mataram,5,2026-05-04 10:49:13,"sofar sangat membantu, aman dan nggak ugal-ugalan..馃檹"
GP Ansor Ranting Pacul Timur,5,2026-05-04 10:39:08,jos jis.. selalu ada promo
Hept Eltasis,5,2026-05-04 10:35:06,ok
Syahi Efendi,5,2026-05-04 10:15:55,bagus
Rafael Aditya,5,2026-05-04 10:05:59,mantap
Sunny Suherman,5,2026-05-04 10:01:21,mantap
azkapermanarahardian19,4,2026-05-04 9:59:28,"saya kurang suka sama salah satu driver,saya batalkan karna salah pilih alamat,eh di lain waktu dia malah marahin saya di depan rumah di depan Kakak saya,padahal saya sudah bilang ""pak maaf saya cancel karna salah pilih alamat"". Saya harap driver seperti itu belajar cara adab bukan belajar mencari uang saja.Dia Bilang ke kakak saya seperti ""eh itu Ade kamu di ajarin ,Jangan suka cancel cancel""padahal saya baru pertama kali bertemu dengan driver itu. nama drivernya Dudung Bin Naan"
Aqila Ismah,3,2026-05-04 9:54:44,"banyak promo tapi Driver untuk gofood nya suka banyak yang gak ngambil, jadi pesanan nya harus di batalkan.. dan itu kurang memuaskan karena udah nunggu lama eh tiba tiba di suruh batalin.. sering kaya gini soalnya jadi males kalo pake gofood lagi.. tolong ya di atasi permasalahan nya"
Syifa Kumala,2,2026-05-04 9:51:23,"awal虏pke nih apk emg membantu pas lagi urgent, driver juga gampang dpt nya. tapi kenapa pas makin ke sini malah makin susah dpt dirver, apalagi pas hujan, walaupun ada driver dkt lokasi kita tapi ga diterima, jdinya malah nyusahin. tolong diperbaiki untuk kedepannya"
Achmad Azhar Alam,1,2026-05-04 9:49:09,mau order go food aja mental Mulu aplikasinya. bilang voucher tidak berlaku. . udh di pencet tanda silang malah balik ke halaman awal. begitu terus. error GK jelas. gimana mau order ini . udh voucher dikit. konsumen di persulit
Restu,5,2026-05-04 9:39:22,mantap
Nur Endah,5,2026-05-04 9:20:23,good
Ezrr Rsya,5,2026-05-04 9:15:44,"maf utk mas"" yg tdi pencarian driver ny lup sy mtiin馃檹"
Fadilah Joy,5,2026-05-04 9:11:19,sy puas dgn pelayanan nya
Sutrisno Trisno,5,2026-05-04 9:09:54,tepat waktu
